Refinamentos:,Mês/Ano fechamento:,2025/06
PK Dataset Chamados,Analista Responsável,Apontamentos - Tempo total em horas,Apontamentos - Tempo total em minutos,Categoria,Categoria (Ord.),Categoria 1,Categoria 2,Categoria 3,Centro de Custo do solicitante - código,Centro de Custo do solicitante - descrição,Centro de Custo do solicitante - qtd. Integrantes,Data criação,Data fechamento,Data/Hora criação,Data/Hora fechamento,Faixa de idade do chamado,Flag Atendeu SLA,Flag Em Aberto,Flag Indisponibilidade,Flag Retrabalho,Flag solicitante igual atendente,Grupo Solucionador,Hora abertura,Hora fechamento,Local usuário,Mês/Ano abertura,Mês/Ano fechamento,Núm. Requisição,Pesquisa de satisfação - comentário,Pesquisa de satisfação - nota,Pesquisa de satisfação - pergunta,Pesquisa de satisfação - resposta,PK Dataset Chamados,Prioridade,Semana abertura,Semana Ano abertura,Semana Ano fechamento,Semana fechamento,SLA Descrição,SLA Tempo hora,SLA Tipo,Solicitante (Usuário abertura),Status (código),Status (descrição),Sub-tipo da categoria,Tempo Aguard. Aprov. (Horas),Tempo Aguard. Atend. (Horas),Tempo Aguard. Fornec. (Horas),Tempo Aguard. Usuário (Horas),Tempo Em Atend. (Horas),Tempo Novo (Horas),Tempo para SLA (Horas),Tempo Pend. Cham. (Horas),Tempo Resolvido (Horas),Tempo Total menos Resolvido (Horas),Título requisição,Urgência,
167108,joaoni,0.750000,45.000000,SERVICO,2-SERVICO,INFRA,CATRACA,Demanda,040801,TECNOLOGIA DE INFORMACAO,37,2025-05-19T18:01:48.000Z,2025-06-05T13:14:45.000Z,19/05/2025 15:01,05/06/2025 10:14,16-30 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,15,10,LOCAL NAO INFORMADO,2025/05,2025/06,167108,,3,Como voce avalia o atendimento prestado?,Bom,167108,Baixa,2 - SEG,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,352.000000,1.000000,daianasantos,9,Encerrado pelo usuario,Formulario Solicitação - Padrão,,,,,3.530000,18.080000,112.490000,,0.010000,112.490000,Não conseguindo acessar o relógio,Baixa,
167109,gabrieljaraujo,0.250000,15.000000,SERVICO,2-SERVICO,SEGURANÇA DA INFORMAÇÃO,FIREWALL NGF,Demanda,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-05-19T19:03:23.000Z,2025-06-09T18:24:31.000Z,19/05/2025 16:03,09/06/2025 15:24,16-30 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SEGURANÇA DA INFORMAÇÃO,16,15,LOCAL NAO INFORMADO,2025/05,2025/06,167109,,,,,167109,Normal,2 - SEG,2025-05-19T03:00:00.000Z,2025-06-09T03:00:00.000Z,2 - SEG,Horas Úteis,352.000000,1.000000,daliane,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,12.400000,45.660000,50.840000,0.530000,1.540000,59.640000,,,110.480000,Conectividade AQTECH,Baixa,
167115,alexandresilva,,,SERVICO,2-SERVICO,SISTEMAS,Senior - Segurança,Demanda,020501,SAÚDE E SEGURANÇA DO TRABALHO,58,2025-05-19T21:03:31.000Z,2025-06-02T19:09:40.000Z,19/05/2025 18:03,02/06/2025 16:09,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SISTEMAS-SAE-PVH,18,16,PORTO VELHO,2025/05,2025/06,167115,,,,,167115,Baixa,2 - SEG,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,352.000000,1.000000,ramsespacifico,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,45.300000,0.020000,19.290000,18.910000,,,64.210000,Integração do Easy Process® com outros softwares que da SAE - TRIADD e SAE,Baixa,
167128,alexandresilva,,,INCIDENTE,1-INCIDENTE,SISTEMAS,Controle de Acesso PVH,Incidente,N/D,NÃO DEFINIDO,403,2025-05-20T15:24:41.000Z,2025-06-16T13:42:44.000Z,20/05/2025 12:24,16/06/2025 10:42,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SISTEMAS-SAE-PVH,12,10,LOCAL NAO INFORMADO,2025/05,2025/06,167128,,,,,167128,Baixa,3 - TER,2025-05-19T03:00:00.000Z,2025-06-16T03:00:00.000Z,2 - SEG,Horas Úteis,20.000000,1.000000,julianaj,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,,,,0.010000,178.490000,169.590000,,27.080000,169.590000,Catraca 03 Recepção AM2,Baixa,
167143,silass,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,ACTIVE DIRECTORY (AD),Demanda,040801,TECNOLOGIA DE INFORMACAO,37,2025-05-21T14:29:11.000Z,2025-06-05T20:30:48.000Z,21/05/2025 11:29,05/06/2025 17:30,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,11,17,LOCAL NAO INFORMADO,2025/05,2025/06,167143,,,,,167143,Normal,4 - QUA,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Sem SLA,0.000000,0.000000,jorgepereira,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,,,0.000000,,,,Correção Item Pentest - IPT-003: DSCYNC PRIVILEGE ESCALATION ACROSS MULTIPLE ACCOUNTS INCLUDING THIRD  PARTIES,Baixa,
167154,marceloa,,,INCIDENTE,1-INCIDENTE,INFRA,BANCO DE DADOS ORACLE,Erro ou Defeito,N/D,NÃO DEFINIDO,403,2025-05-21T19:49:25.000Z,2025-06-05T20:23:14.000Z,21/05/2025 16:49,05/06/2025 17:23,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,16,17,LOCAL NAO INFORMADO,2025/05,2025/06,167154,,,,,167154,Baixa,4 - QUA,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,4.000000,1.000000,noc_ebsit,8,Encerrado pelo sistema,Formulario Incidente - Padrão,,,,,0.030000,107.680000,99.810000,,27.010000,99.810000,SAEN--DBO-PRD-PCSFX,Baixa,
167173,gabrielsbrito,13.750000,825.000000,SERVICO,2-SERVICO,INFRA,NOVO USUÁRIO,Eletrobrás,040701,GESTAO DE PESSOAS,20,2025-05-22T19:46:45.000Z,2025-06-16T12:11:58.000Z,22/05/2025 16:46,16/06/2025 09:11,16-30 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,16,09,LOCAL NAO INFORMADO,2025/05,2025/06,167173,,,,,167173,Baixa,5 - QUI,2025-05-19T03:00:00.000Z,2025-06-16T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,rozelymorais,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,78.660000,5.690000,,20.230000,23.200000,18.710000,44.840000,,27.060000,143.730000,Cadastrar usuário CSC - ELB,Baixa,
167175,carlosm,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Requisição Interna e de compra (IPROC),Dúvida,N/D,NÃO DEFINIDO,403,2025-05-22T20:10:30.000Z,2025-06-09T15:29:32.000Z,22/05/2025 17:10,09/06/2025 12:29,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,17,12,LOCAL NAO INFORMADO,2025/05,2025/06,167175,,,,,167175,Baixa,5 - QUI,2025-05-19T03:00:00.000Z,2025-06-09T03:00:00.000Z,2 - SEG,Horas Úteis,16.000000,1.000000,selmasilva.elb,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,46.300000,22.870000,15.120000,33.070000,,,79.370000,Apoio para fazer a medição na requisição de compra ,Baixa,
167177,ivancardoso,,,INCIDENTE,1-INCIDENTE,SISTEMAS,EBS-Entrada de Notas (RI),Erro do usuário,N/D,NÃO DEFINIDO,403,2025-05-23T11:53:15.000Z,2025-06-02T13:20:18.000Z,23/05/2025 08:53,02/06/2025 10:20,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,08,10,LOCAL NAO INFORMADO,2025/05,2025/06,167177,,,,,167177,Normal,6 - SEX,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,16.000000,1.000000,rafaelcunha.elb,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,,,39.740000,4.890000,14.470000,15.710000,,27.030000,55.450000,Erro na aprovação,Baixa,
167184,mateush,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,TELEFONIA FIXA,Mau Funcionamento,020403,MANUTENCAO DE UNIDADES GERADORAS,191,2025-05-23T14:19:45.000Z,2025-06-03T15:23:29.000Z,23/05/2025 11:19,03/06/2025 12:23,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,11,12,LOCAL NAO INFORMADO,2025/05,2025/06,167184,,4,Como voce avalia o atendimento prestado?,Otimo,167184,Critica,6 - SEX,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,16.000000,1.000000,agnaldooliveira,9,Encerrado pelo usuario,Formulario Solicitação - Padrão,,64.550000,,,1.430000,2.460000,64.250000,,7.290000,64.250000,Telefone fixo Sala do Técnicos da Revisão AM05 Casa de força LR,Baixa,
167186,davibdomingos,,,SERVICO,2-SERVICO,SISTEMAS,Criação de acessos Eletrobras,Solicitação de Serviço,010103,COMPLIANCE E CONTROLES INTERNOS,12,2025-05-23T15:24:35.000Z,2025-06-04T13:09:32.000Z,23/05/2025 12:24,04/06/2025 10:09,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SISTEMAS-SAE-SPO,12,10,LOCAL NAO INFORMADO,2025/05,2025/06,167186,,,,,167186,Baixa,6 - SEX,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Horas Úteis,80.000000,1.000000,tiagoborges,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,37.160000,,,,8.030000,0.820000,8.520000,,,45.680000,INCLUSÃO DE USUÁRIO E ESPELHAMENTO,Baixa,
167210,gabrieljaraujo,,,SERVICO,2-SERVICO,SEGURANÇA DA INFORMAÇÃO,FIREWALL NGF,Solicitação de Serviço,N/D,NÃO DEFINIDO,403,2025-05-26T14:08:54.000Z,2025-06-05T12:09:31.000Z,26/05/2025 11:08,05/06/2025 09:09,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SEGURANÇA DA INFORMAÇÃO,11,09,LOCAL NAO INFORMADO,2025/05,2025/06,167210,,,,,167210,Baixa,2 - SEG,2025-05-26T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,40.000000,1.000000,ivamcardoso,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,46.340000,0.060000,1.060000,-0.380000,,,45.960000,Liberação do IP: 10.142.20.111 e 10.142.20.86 para a VPN ADN / ERPN,Baixa,
167219,guilhermepa,0.250000,15.000000,SERVICO,2-SERVICO,INFRA,REDE,Erro ou Defeito,N/D,NÃO DEFINIDO,403,2025-05-26T19:34:08.000Z,2025-06-09T19:47:41.000Z,26/05/2025 16:34,09/06/2025 16:47,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,16,16,LOCAL NAO INFORMADO,2025/05,2025/06,167219,,,,,167219,Baixa,2 - SEG,2025-05-26T03:00:00.000Z,2025-06-09T03:00:00.000Z,2 - SEG,Horas Úteis,16.000000,1.000000,julianaj,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,26.820000,0.000000,67.140000,63.720000,,27.010000,90.540000,Falha na conexão,Baixa,
167234,guilhermepa,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,MÁQUINAS E PERIFÉRICOS,Solicitação de Equipamento,040502,ALMOXARIFADO,28,2025-05-27T13:36:26.000Z,2025-06-13T13:28:30.000Z,27/05/2025 10:36,13/06/2025 10:28,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,10,10,LOCAL NAO INFORMADO,2025/05,2025/06,167234,"Como de costume fui muito bem atendido, com a solução bem solucionada a minha solicitação.",4,Como voce avalia o atendimento prestado?,Otimo,167234,Baixa,3 - TER,2025-05-26T03:00:00.000Z,2025-06-09T03:00:00.000Z,6 - SEX,Horas Úteis,80.000000,1.000000,ediocorreia,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,122.210000,117.140000,,27.030000,117.140000,MONITORES DELL,Baixa,
167238,uendeln,0.080000,5.000000,SERVICO,2-SERVICO,INFRA,RÁDIO (PTT),Solicitação de Serviço,020402,OPERACAO,177,2025-05-27T15:11:22.000Z,2025-06-10T17:10:21.000Z,27/05/2025 12:11,10/06/2025 14:10,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,12,14,PORTO VELHO,2025/05,2025/06,167238,,,,,167238,Normal,3 - TER,2025-05-26T03:00:00.000Z,2025-06-09T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,joseeudes,8,Encerrado pelo sistema,Formulario Solicitação - Infra - Solicitação Padrão,,26.680000,,,5.620000,64.560000,92.300000,,27.020000,92.300000,Levantamento de rádios da GO,Baixa,
167246,davibdomingos,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Aprovações (AME),Solicitação de Serviço,040801,TECNOLOGIA DE INFORMACAO,37,2025-05-27T18:28:10.000Z,2025-06-02T18:16:28.000Z,27/05/2025 15:28,02/06/2025 15:16,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,SIM,ERPN,15,15,LOCAL NAO INFORMADO,2025/05,2025/06,167246,,,,,167246,Baixa,3 - TER,2025-05-26T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,40.000000,1.000000,davibdomingos,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.020000,38.580000,35.860000,,27.020000,35.860000,Mapeamento das AREAS com mais de um CC,Baixa,
167262,daianasantos,,,INCIDENTE,1-INCIDENTE,SISTEMAS,P&O - Folha de pagamento,Erro de sistema,040701,GESTAO DE PESSOAS,20,2025-05-28T13:46:29.000Z,2025-06-02T19:16:56.000Z,28/05/2025 10:46,02/06/2025 16:16,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SISTEMAS-SAE-SPO,10,16,LOCAL NAO INFORMADO,2025/05,2025/06,167262,,,,,167262,Normal,4 - QUA,2025-05-26T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,16.000000,1.000000,rozelymorais,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,,,31.360000,0.040000,1.320000,1.200000,,27.010000,32.560000,Título integrado não aparece EBS,Baixa,
167263,alexandresilva,,,INCIDENTE,1-INCIDENTE,SISTEMAS,Controle de Acesso PVH,Incidente,N/D,NÃO DEFINIDO,403,2025-05-28T14:25:57.000Z,2025-06-09T20:55:32.000Z,28/05/2025 11:25,09/06/2025 17:55,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SISTEMAS-SAE-PVH,11,17,LOCAL NAO INFORMADO,2025/05,2025/06,167263,,,,,167263,Baixa,4 - QUA,2025-05-26T03:00:00.000Z,2025-06-09T03:00:00.000Z,2 - SEG,Horas Úteis,20.000000,1.000000,julianaj,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,,,,0.000000,82.940000,78.620000,,27.050000,78.620000,Porta recepção AM2 ,Baixa,
167264,silass,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,SOFTWARES,Instalação / Remoção,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-05-28T15:02:58.000Z,2025-06-02T13:01:24.000Z,28/05/2025 12:02,02/06/2025 10:01,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,12,10,PORTO VELHO,2025/05,2025/06,167264,,,,,167264,Baixa,4 - QUA,2025-05-26T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,alansilva,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,22.590000,,1.530000,0.000000,1.070000,23.490000,,27.020000,25.020000,Instalação Microsoft Project ,Baixa,
167265,joaoni,0.500000,30.000000,SERVICO,2-SERVICO,INFRA,MÁQUINAS E PERIFÉRICOS,Erro ou Defeito,040701,GESTAO DE PESSOAS,20,2025-05-28T15:05:58.000Z,2025-06-04T21:04:27.000Z,28/05/2025 12:05,04/06/2025 18:04,1-15 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,12,18,LOCAL NAO INFORMADO,2025/05,2025/06,167265,,,,,167265,Baixa,4 - QUA,2025-05-26T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Horas Úteis,16.000000,1.000000,mellissagcardoso,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,6.750000,1.480000,45.750000,44.310000,,27.050000,51.060000,REP GG4,Baixa,
167266,franklinc,0.250000,15.000000,SERVICO,2-SERVICO,SEGURANÇA DA INFORMAÇÃO,FIREWALL NGF,Demanda,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-05-28T15:24:07.000Z,2025-06-03T20:13:25.000Z,28/05/2025 12:24,03/06/2025 17:13,1-15 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,INFRA,12,17,LOCAL NAO INFORMADO,2025/05,2025/06,167266,,,,,167266,Baixa,4 - QUA,2025-05-26T03:00:00.000Z,2025-06-02T03:00:00.000Z,3 - TER,Horas Úteis,352.000000,1.000000,alancorrea,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,40.700000,2.830000,40.790000,,27.000000,40.790000,Liberação Acesso Remoto Seguro - TO,Baixa,
